pincode,code,type,type_encode,rent_per_sqft,district,statename,latitude,longitude,urban,nearest_airport_km,nearest_airport_name,pincode_population,area_km2,population_density,male_population,female_population,state_gdp,state_population,pincode_gdp
246701,U31,Branch,1,36.75,BIJNOR,UTTAR PRADESH,29.3732773,78.1355358,1.0,43.09468388315995,Muzaffarnagar Helipad,334725.0,388.66,861.2283229557968,176088.0,158637.0,25479.0,225257355.0,37.860953641225166
247001,U20,Branch,1,41.5,SAHARANPUR,UTTAR PRADESH,29.9603056,77.5458889,1.0,12.200970587143786,Sarsawa AFS (VISP),1189672.0,439.01,2709.897268854924,627816.0,561856.0,25479.0,225257355.0,134.5645423564527
247667,U22,Branch,1,25.875,HARIDWAR,UTTARAKHAND,29.8704444,77.8884722,1.0,44.9274274245525,Clement Town Heliport,462068.0,314.28,1470.243095329006,246198.0,215870.0,3462.0,12337009.0,129.66509273033682
248001,U10,Branch,1,57.43,DEHRADUN,UTTARAKHAND,30.3353611,78.0144722,1.0,3.880851888264405,Indian Military Academy Helipad,470716.0,71.53,6580.679435202013,247683.0,223033.0,3462.0,12337009.0,132.09188645319136
248011,U28,Branch,1,43.35,DEHRADUN,UTTARAKHAND,30.3553056,77.8543611,1.0,11.645027950485591,Indian Military Academy Helipad,22583.0,14.51,1556.3749138525154,11840.0,10743.0,3462.0,12337009.0,6.337220472158203
249201,U17,Branch,1,49.5,DEHRADUN,UTTARAKHAND,30.10536,78.298438,1.0,14.730597156163526,Dehradun Airport (DED/VIDN),116183.0,46.48,2499.634251290878,60958.0,55225.0,3462.0,12337009.0,32.60316548362735
249402,U18,Branch,1,26.74,HARIDWAR,UTTARAKHAND,29.91,78.04,0.0,33.90612870355713,Dehradun Airport (DED/VIDN),268389.0,366.92,731.4646244412951,142335.0,126054.0,3462.0,12337009.0,75.31507174875208
250002,U13,Branch,1,44.1,MEERUT,UTTAR PRADESH,28.967333,77.658788,1.0,6.158424302123141,Meerut Helipad,596820.0,86.25,6919.652173913043,316473.0,280347.0,25479.0,225257355.0,67.50668265637763
262701,U140,Branch,1,13.78,KHERI,UTTAR PRADESH,27.96,80.64,1.0,14.782975817005122,Lakhimpur Police Helipad,545889.0,790.3,690.7364292040997,287563.0,258326.0,25479.0,225257355.0,61.745845461960606
263139,U12,Branch,1,22.05,NAINITAL,UTTARAKHAND,29.24841,80.10541,1.0,40.511514978873805,Pithorgarh Airport (VIDF),376889.0,1522.86,247.48762197444285,195946.0,180943.0,3462.0,12337009.0,105.762240912688
263153,U23,Branch,1,13.37,UDAM SINGH NAGAR,UTTARAKHAND,29.028629,79.3888,1.0,8.27149532729125,Pantnagar Airport (PGH/VIPT),162376.0,89.62,1811.8277170274491,85241.0,77135.0,3462.0,12337009.0,45.565802213486265
271002,U45,Branch,1,37.89,GONDA,UTTAR PRADESH,27.11416,82.01616,0.0,42.62892395496963,Faizabad Airport,115105.0,109.54,1050.8033595033778,60302.0,54803.0,25479.0,225257355.0,13.019598383369102
272001,U142,Branch,1,22.97,BASTI,UTTAR PRADESH,26.786796,82.722857,1.0,40.73014717031258,Akbarpur Airport,79570.0,15.75,5052.063492063492,40964.0,38606.0,25479.0,225257355.0,9.000212357105942
273016,U06,Branch,1,63.0,GORAKHPUR,UTTAR PRADESH,26.760555,83.05768,0.0,38.94726904499133,Gorakhpur AFS (GOP/VEGK),300250.0,241.2,1244.8175787728028,155218.0,145032.0,25479.0,225257355.0,33.96146487647429
276001,U133,Branch,1,55.84,AZAMGARH,UTTAR PRADESH,26.052616,83.1828748,1.0,74.21938669994998,Varanasi Airport (VNS/VIBN),314685.0,126.29,2491.7649853511757,159577.0,155108.0,25479.0,225257355.0,35.59421673489862
281004,U25,Branch,1,40.0,MATHURA,UTTAR PRADESH,27.47,77.69,0.0,0.9851944504626192,Mathura Heliport,176811.0,111.6,1584.3279569892477,94849.0,81962.0,25479.0,225257355.0,19.999202552120884
282007,U09,Branch,1,52.9,AGRA,UTTAR PRADESH,27.20455,77.9578487,1.0,5.219450442291843,Agra AFS (AGR/VIAG),524154.0,235.85,2222.4040703837186,280006.0,244148.0,25479.0,225257355.0,59.28738604783849
284003,U24,Branch,1,33.08,JHANSI,UTTAR PRADESH,25.43889,78.59536,1.0,6.7824879324897065,Jhansi Air Base (VIJN),162627.0,70.98,2291.1665257819104,86268.0,76359.0,25479.0,225257355.0,18.394841460337663
